"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2500","Unsuccessful log in with empty password","Testrail Regression Test","Thu Jul 10 13:13:07 GMT 2025","passed","Thu Jul 10 13:13:09 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyPassword"
"","9575","testCreateNewTestCaseWithAllFields","Testrail Regression Test","Thu Jul 10 13:13:21 GMT 2025","passed","Thu Jul 10 13:13:30 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testCreateNewTestCaseWithAllFields"
"","6352","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:12:41 GMT 2025","passed","Thu Jul 10 13:12:48 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectCreate"
"","3329","Successful login","Testrail Regression Test","Thu Jul 10 13:13:17 GMT 2025","passed","Thu Jul 10 13:13:20 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testLoginWithValidCredentials"
"","1810","Delete project","Testrail Regression Test","Thu Jul 10 13:12:21 GMT 2025","passed","Thu Jul 10 13:12:23 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testDeleteProject"
"","2657","Unsuccessful log in with empty email","Testrail Regression Test","Thu Jul 10 13:13:03 GMT 2025","passed","Thu Jul 10 13:13:06 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyEmail"
"","3990","Create new project","Testrail Regression Test","Thu Jul 10 13:12:16 GMT 2025","passed","Thu Jul 10 13:12:20 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testCreateNewProject"
"","1876","Get all projects","Testrail Regression Test","Thu Jul 10 13:12:24 GMT 2025","passed","Thu Jul 10 13:12:26 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testGetAllProjects"
"","5225","Opening project overview page from dashboard page","Testrail Regression Test","Thu Jul 10 13:12:57 GMT 2025","passed","Thu Jul 10 13:13:02 GMT 2025","tests.ui.DashboardTest","UI regression","tests.ui.DashboardTest","testOpeningProjectOverviewPage"
"","2634","Log in with invalid email","Testrail Regression Test","Thu Jul 10 13:13:10 GMT 2025","passed","Thu Jul 10 13:13:13 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongEmail"
"","5306","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:12:50 GMT 2025","passed","Thu Jul 10 13:12:56 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectIsShownOnDashboardPage"
"","2612","Log in with invalid password","Testrail Regression Test","Thu Jul 10 13:13:13 GMT 2025","passed","Thu Jul 10 13:13:16 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongPassword"
"","10901","testEditTestCase","Testrail Regression Test","Thu Jul 10 13:13:44 GMT 2025","passed","Thu Jul 10 13:13:55 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testEditTestCase"
"","23725","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:12:16 GMT 2025","passed","Thu Jul 10 13:12:40 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testFirstProjectCreate"
"","10946","testDeleteTestCase","Testrail Regression Test","Thu Jul 10 13:13:32 GMT 2025","passed","Thu Jul 10 13:13:43 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testDeleteTestCase"
