"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2866","Successful login","Testrail Regression Test","Thu Jul 10 13:00:31 GMT 2025","passed","Thu Jul 10 13:00:34 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testLoginWithValidCredentials"
"","5583","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:00:02 GMT 2025","passed","Thu Jul 10 13:00:07 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectCreate"
"","1","Closing browser","Testrail Regression Test","Thu Jul 10 12:59:47 GMT 2025","failed","Thu Jul 10 12:59:47 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","tearDown"
"","27098","testCreateNewTestCaseWithAllFields","Testrail Regression Test","Thu Jul 10 13:00:35 GMT 2025","failed","Thu Jul 10 13:01:02 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testCreateNewTestCaseWithAllFields"
"","2076","Log in with invalid email","Testrail Regression Test","Thu Jul 10 13:00:26 GMT 2025","passed","Thu Jul 10 13:00:28 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongEmail"
"","17200","Successful creation new project","Testrail Regression Test","Thu Jul 10 12:59:43 GMT 2025","passed","Thu Jul 10 13:00:00 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testFirstProjectCreate"
"","3941","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:00:09 GMT 2025","passed","Thu Jul 10 13:00:13 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectIsShownOnDashboardPage"
"","27076","testEditTestCase","Testrail Regression Test","Thu Jul 10 13:01:30 GMT 2025","failed","Thu Jul 10 13:01:57 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testEditTestCase"
"","1890","Unsuccessful log in with empty email","Testrail Regression Test","Thu Jul 10 13:00:21 GMT 2025","passed","Thu Jul 10 13:00:22 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyEmail"
"","2056","Unsuccessful log in with empty password","Testrail Regression Test","Thu Jul 10 13:00:23 GMT 2025","passed","Thu Jul 10 13:00:25 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyPassword"
"","0","Get all projects","Testrail Regression Test","Thu Jul 10 12:59:48 GMT 2025","skipped","Thu Jul 10 12:59:48 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testGetAllProjects"
"","26718","testDeleteTestCase","Testrail Regression Test","Thu Jul 10 13:01:03 GMT 2025","failed","Thu Jul 10 13:01:30 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testDeleteTestCase"
"","3312","Create new project","Testrail Regression Test","Thu Jul 10 12:59:43 GMT 2025","passed","Thu Jul 10 12:59:46 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testCreateNewProject"
"","2186","Log in with invalid password","Testrail Regression Test","Thu Jul 10 13:00:28 GMT 2025","passed","Thu Jul 10 13:00:31 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongPassword"
"","4942","Opening project overview page from dashboard page","Testrail Regression Test","Thu Jul 10 13:00:14 GMT 2025","passed","Thu Jul 10 13:00:19 GMT 2025","tests.ui.DashboardTest","UI regression","tests.ui.DashboardTest","testOpeningProjectOverviewPage"
"","0","Delete project","Testrail Regression Test","Thu Jul 10 12:59:47 GMT 2025","skipped","Thu Jul 10 12:59:47 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testDeleteProject"
