"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3366","Create new project","Testrail Regression Test","Thu Jul 10 12:56:43 GMT 2025","passed","Thu Jul 10 12:56:46 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testCreateNewProject"
"","2762","Unsuccessful log in with empty email","Testrail Regression Test","Thu Jul 10 12:57:27 GMT 2025","passed","Thu Jul 10 12:57:30 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyEmail"
"","27919","testCreateNewTestCaseWithAllFields","Testrail Regression Test","Thu Jul 10 12:57:44 GMT 2025","failed","Thu Jul 10 12:58:12 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testCreateNewTestCaseWithAllFields"
"","1","Get all projects","Testrail Regression Test","Thu Jul 10 12:56:49 GMT 2025","skipped","Thu Jul 10 12:56:49 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testGetAllProjects"
"","2487","Log in with invalid email","Testrail Regression Test","Thu Jul 10 12:57:34 GMT 2025","passed","Thu Jul 10 12:57:36 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongEmail"
"","0","Delete project","Testrail Regression Test","Thu Jul 10 12:56:48 GMT 2025","skipped","Thu Jul 10 12:56:48 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testDeleteProject"
"","27496","testEditTestCase","Testrail Regression Test","Thu Jul 10 12:58:43 GMT 2025","failed","Thu Jul 10 12:59:10 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testEditTestCase"
"","6153","Successful creation new project","Testrail Regression Test","Thu Jul 10 12:57:05 GMT 2025","passed","Thu Jul 10 12:57:11 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectCreate"
"","20576","Successful creation new project","Testrail Regression Test","Thu Jul 10 12:56:43 GMT 2025","passed","Thu Jul 10 12:57:04 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testFirstProjectCreate"
"","5395","Successful creation new project","Testrail Regression Test","Thu Jul 10 12:57:13 GMT 2025","passed","Thu Jul 10 12:57:19 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectIsShownOnDashboardPage"
"","0","Closing browser","Testrail Regression Test","Thu Jul 10 12:56:48 GMT 2025","failed","Thu Jul 10 12:56:48 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","tearDown"
"","2605","Log in with invalid password","Testrail Regression Test","Thu Jul 10 12:57:37 GMT 2025","passed","Thu Jul 10 12:57:40 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongPassword"
"","5561","Opening project overview page from dashboard page","Testrail Regression Test","Thu Jul 10 12:57:20 GMT 2025","passed","Thu Jul 10 12:57:26 GMT 2025","tests.ui.DashboardTest","UI regression","tests.ui.DashboardTest","testOpeningProjectOverviewPage"
"","27867","testDeleteTestCase","Testrail Regression Test","Thu Jul 10 12:58:13 GMT 2025","failed","Thu Jul 10 12:58:41 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testDeleteTestCase"
"","3080","Successful login","Testrail Regression Test","Thu Jul 10 12:57:40 GMT 2025","passed","Thu Jul 10 12:57:43 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testLoginWithValidCredentials"
"","2696","Unsuccessful log in with empty password","Testrail Regression Test","Thu Jul 10 12:57:30 GMT 2025","passed","Thu Jul 10 12:57:33 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyPassword"
