"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1596","Unsuccessful log in with empty email","Testrail Regression Test","Tue Jul 08 20:44:31 GMT 2025","passed","Tue Jul 08 20:44:33 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyEmail"
"","10051","testDeleteTestCase","Testrail Regression Test","Tue Jul 08 20:44:49 GMT 2025","passed","Tue Jul 08 20:44:59 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testDeleteTestCase"
"","8327","testCreateNewTestCaseWithAllFields","Testrail Regression Test","Tue Jul 08 20:44:41 GMT 2025","passed","Tue Jul 08 20:44:49 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testCreateNewTestCaseWithAllFields"
"","2022","Get all projects","Testrail Regression Test","Tue Jul 08 20:44:16 GMT 2025","passed","Tue Jul 08 20:44:18 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testGetAllProjects"
"","1069","Delete project","Testrail Regression Test","Tue Jul 08 20:44:15 GMT 2025","passed","Tue Jul 08 20:44:16 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testDeleteProject"
"","1589","Log in with invalid email","Testrail Regression Test","Tue Jul 08 20:44:35 GMT 2025","passed","Tue Jul 08 20:44:36 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongEmail"
"","1661","Log in with invalid password","Testrail Regression Test","Tue Jul 08 20:44:36 GMT 2025","passed","Tue Jul 08 20:44:38 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongPassword"
"","5019","Opening project overview page from dashboard page","Testrail Regression Test","Tue Jul 08 20:44:26 GMT 2025","passed","Tue Jul 08 20:44:31 GMT 2025","tests.ui.DashboardTest","UI regression","tests.ui.DashboardTest","testOpeningProjectOverviewPage"
"","9401","Successful creation new project","Testrail Regression Test","Tue Jul 08 20:44:12 GMT 2025","passed","Tue Jul 08 20:44:22 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectCreate"
"","11263","testEditTestCase","Testrail Regression Test","Tue Jul 08 20:44:59 GMT 2025","passed","Tue Jul 08 20:45:11 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testEditTestCase"
"","2506","Successful login","Testrail Regression Test","Tue Jul 08 20:44:38 GMT 2025","passed","Tue Jul 08 20:44:41 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testLoginWithValidCredentials"
"","2849","Create new project","Testrail Regression Test","Tue Jul 08 20:44:12 GMT 2025","passed","Tue Jul 08 20:44:15 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testCreateNewProject"
"","4396","Successful creation new project","Testrail Regression Test","Tue Jul 08 20:44:22 GMT 2025","passed","Tue Jul 08 20:44:26 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectIsShownOnDashboardPage"
"","1566","Unsuccessful log in with empty password","Testrail Regression Test","Tue Jul 08 20:44:33 GMT 2025","passed","Tue Jul 08 20:44:35 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyPassword"
