"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7343","testCreateNewTestCaseWithAllFields","Testrail Regression Test","Thu Jul 10 13:10:27 GMT 2025","broken","Thu Jul 10 13:10:34 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testCreateNewTestCaseWithAllFields"
"","7677","testEditTestCase","Testrail Regression Test","Thu Jul 10 13:10:45 GMT 2025","broken","Thu Jul 10 13:10:52 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testEditTestCase"
"","5300","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:09:57 GMT 2025","passed","Thu Jul 10 13:10:02 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectIsShownOnDashboardPage"
"","2896","Successful login","Testrail Regression Test","Thu Jul 10 13:10:23 GMT 2025","passed","Thu Jul 10 13:10:26 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testLoginWithValidCredentials"
"","5860","Opening project overview page from dashboard page","Testrail Regression Test","Thu Jul 10 13:10:04 GMT 2025","passed","Thu Jul 10 13:10:10 GMT 2025","tests.ui.DashboardTest","UI regression","tests.ui.DashboardTest","testOpeningProjectOverviewPage"
"","2451","Unsuccessful log in with empty password","Testrail Regression Test","Thu Jul 10 13:10:14 GMT 2025","passed","Thu Jul 10 13:10:16 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyPassword"
"","7474","testDeleteTestCase","Testrail Regression Test","Thu Jul 10 13:10:36 GMT 2025","broken","Thu Jul 10 13:10:43 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testDeleteTestCase"
"","18263","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:09:29 GMT 2025","passed","Thu Jul 10 13:09:47 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testFirstProjectCreate"
"","1","Closing browser","Testrail Regression Test","Thu Jul 10 13:09:34 GMT 2025","failed","Thu Jul 10 13:09:34 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","tearDown"
"","2591","Log in with invalid password","Testrail Regression Test","Thu Jul 10 13:10:20 GMT 2025","passed","Thu Jul 10 13:10:23 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongPassword"
"","2493","Unsuccessful log in with empty email","Testrail Regression Test","Thu Jul 10 13:10:11 GMT 2025","passed","Thu Jul 10 13:10:13 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyEmail"
"","3297","Create new project","Testrail Regression Test","Thu Jul 10 13:09:29 GMT 2025","passed","Thu Jul 10 13:09:32 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testCreateNewProject"
"","0","Get all projects","Testrail Regression Test","Thu Jul 10 13:09:34 GMT 2025","skipped","Thu Jul 10 13:09:34 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testGetAllProjects"
"","6139","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:09:49 GMT 2025","passed","Thu Jul 10 13:09:55 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectCreate"
"","0","Delete project","Testrail Regression Test","Thu Jul 10 13:09:34 GMT 2025","skipped","Thu Jul 10 13:09:34 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testDeleteProject"
"","2424","Log in with invalid email","Testrail Regression Test","Thu Jul 10 13:10:17 GMT 2025","passed","Thu Jul 10 13:10:19 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongEmail"
