"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2077","Delete project","Testrail Regression Test","Mon Jul 07 21:39:45 GMT 2025","passed","Mon Jul 07 21:39:47 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testDeleteProject"
"","1551","Successful creation new project","Testrail Regression Test","Mon Jul 07 21:39:43 GMT 2025","broken","Mon Jul 07 21:39:44 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectCreate"
"","2026","Create new project","Testrail Regression Test","Mon Jul 07 21:39:43 GMT 2025","passed","Mon Jul 07 21:39:45 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testCreateNewProject"
"","250","testCreateNewTestCaseWithAllFields","Testrail Regression Test","Mon Jul 07 21:39:47 GMT 2025","broken","Mon Jul 07 21:39:47 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testCreateNewTestCaseWithAllFields"
"","320","testDeleteTestCase","Testrail Regression Test","Mon Jul 07 21:39:47 GMT 2025","broken","Mon Jul 07 21:39:47 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testDeleteTestCase"
"","267","testEditTestCase","Testrail Regression Test","Mon Jul 07 21:39:47 GMT 2025","broken","Mon Jul 07 21:39:48 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testEditTestCase"
"","227","Unsuccessful log in with empty email","Testrail Regression Test","Mon Jul 07 21:39:45 GMT 2025","broken","Mon Jul 07 21:39:45 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyEmail"
"","362","Log in with invalid email","Testrail Regression Test","Mon Jul 07 21:39:46 GMT 2025","broken","Mon Jul 07 21:39:46 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongEmail"
"","357","Successful creation new project","Testrail Regression Test","Mon Jul 07 21:39:45 GMT 2025","broken","Mon Jul 07 21:39:45 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectIsShownOnDashboardPage"
"","997","Get all projects","Testrail Regression Test","Mon Jul 07 21:39:47 GMT 2025","passed","Mon Jul 07 21:39:48 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testGetAllProjects"
"","338","Log in with invalid password","Testrail Regression Test","Mon Jul 07 21:39:46 GMT 2025","broken","Mon Jul 07 21:39:47 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongPassword"
"","260","Successful login","Testrail Regression Test","Mon Jul 07 21:39:47 GMT 2025","broken","Mon Jul 07 21:39:47 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testLoginWithValidCredentials"
"","296","Unsuccessful log in with empty password","Testrail Regression Test","Mon Jul 07 21:39:45 GMT 2025","broken","Mon Jul 07 21:39:46 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyPassword"
"","359","Opening project overview page from dashboard page","Testrail Regression Test","Mon Jul 07 21:39:45 GMT 2025","broken","Mon Jul 07 21:39:45 GMT 2025","tests.ui.DashboardTest","UI regression","tests.ui.DashboardTest","testOpeningProjectOverviewPage"
