"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4157","Opening project overview page from dashboard page","Testrail Regression Test","Thu Jul 10 13:05:44 GMT 2025","passed","Thu Jul 10 13:05:48 GMT 2025","tests.ui.DashboardTest","UI regression","tests.ui.DashboardTest","testOpeningProjectOverviewPage"
"","1660","Unsuccessful log in with empty email","Testrail Regression Test","Thu Jul 10 13:05:48 GMT 2025","passed","Thu Jul 10 13:05:50 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyEmail"
"","25488","testDeleteTestCase","Testrail Regression Test","Thu Jul 10 13:06:25 GMT 2025","failed","Thu Jul 10 13:06:50 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testDeleteTestCase"
"","1497","Unsuccessful log in with empty password","Testrail Regression Test","Thu Jul 10 13:05:51 GMT 2025","passed","Thu Jul 10 13:05:52 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyPassword"
"","3556","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:05:40 GMT 2025","passed","Thu Jul 10 13:05:43 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectIsShownOnDashboardPage"
"","3220","Create new project","Testrail Regression Test","Thu Jul 10 13:05:16 GMT 2025","passed","Thu Jul 10 13:05:19 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testCreateNewProject"
"","1848","Successful login","Testrail Regression Test","Thu Jul 10 13:05:56 GMT 2025","passed","Thu Jul 10 13:05:58 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testLoginWithValidCredentials"
"","4240","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:05:34 GMT 2025","passed","Thu Jul 10 13:05:39 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectCreate"
"","962","Get all projects","Testrail Regression Test","Thu Jul 10 13:05:21 GMT 2025","passed","Thu Jul 10 13:05:22 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testGetAllProjects"
"","1612","Log in with invalid password","Testrail Regression Test","Thu Jul 10 13:05:54 GMT 2025","passed","Thu Jul 10 13:05:56 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongPassword"
"","17686","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:05:16 GMT 2025","passed","Thu Jul 10 13:05:34 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testFirstProjectCreate"
"","1603","Log in with invalid email","Testrail Regression Test","Thu Jul 10 13:05:52 GMT 2025","passed","Thu Jul 10 13:05:54 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongEmail"
"","25752","testEditTestCase","Testrail Regression Test","Thu Jul 10 13:06:51 GMT 2025","failed","Thu Jul 10 13:07:17 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testEditTestCase"
"","807","Delete project","Testrail Regression Test","Thu Jul 10 13:05:20 GMT 2025","passed","Thu Jul 10 13:05:20 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testDeleteProject"
"","25525","testCreateNewTestCaseWithAllFields","Testrail Regression Test","Thu Jul 10 13:05:58 GMT 2025","failed","Thu Jul 10 13:06:24 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testCreateNewTestCaseWithAllFields"
